
33685;HISTORYCZNE;;"Kujawska Szkoła Wyższa we Włocławku; Wydział Nauk Społecznych i Technicznych";221687
33685;HISTORYCZNE;profesor;"Wyższa Szkoła Humanistyczno-Ekonomiczna we Włocławku; Wydział Ekonomii i Informatyki";19058
33685;HISTORYCZNE;;"Wyższa Szkoła Humanistyczno-Ekonomiczna we Włocławku; Wydział Ekonomii i Informatyki";19058
33685;HISTORYCZNE;profesor nadzwyczajny;"Wyższa Szkoła Humanistyczno-Ekonomiczna we Włocławku; Wydział Nauk Społecznych i Technicznych";204030
33685;HISTORYCZNE;;"Wyższa Szkoła Humanistyczno-Ekonomiczna we Włocławku; Wydział Nauk Społecznych i Technicznych";204030
225261;AKTUALNE;adiunkt;"Uniwersytet Kazimierza Wielkiego; Wydział Mechatroniki; Katedra Biomechaniki i Mechaniki Eksperymentalnej";230980
225261;AKTUALNE;;"Uniwersytet Kazimierza Wielkiego; Wydział Mechatroniki; Katedra Biomechaniki i Mechaniki Eksperymentalnej";230980
225261;HISTORYCZNE;adiunkt;"Uniwersytet Kazimierza Wielkiego; Wydział Matematyki, Fizyki i Techniki; Instytut Mechaniki i Informatyki Stosowanej";206711
225261;HISTORYCZNE;;"Uniwersytet Kazimierza Wielkiego; Wydział Matematyki, Fizyki i Techniki; Instytut Mechaniki i Informatyki Stosowanej";206711
225261;HISTORYCZNE;adiunkt;"Uniwersytet Kazimierza Wielkiego; Wydział Mechatroniki; Instytut Mechaniki i Informatyki Stosowanej";230977
225261;HISTORYCZNE;;"Uniwersytet Kazimierza Wielkiego; Wydział Mechatroniki; Instytut Mechaniki i Informatyki Stosowanej";230977
225261;HISTORYCZNE;adiunkt;"Wyższa Szkoła Bankowa w Toruniu; Wydział Finansów i Zarządzania";218046
28642;HISTORYCZNE;;Instytut Podstawowych Problemów Techniki Polskiej Akademii Nauk;3706
28642;HISTORYCZNE;profesor zwyczajny;"Uniwersytet Kazimierza Wielkiego; Wydział Matematyki, Fizyki i Techniki; Instytut Mechaniki i Informatyki Stosowanej";206711
28642;HISTORYCZNE;;"Uniwersytet Kazimierza Wielkiego; Wydział Matematyki, Fizyki i Techniki; Instytut Mechaniki i Informatyki Stosowanej";206711
28642;HISTORYCZNE;;"Uniwersytet Kazimierza Wielkiego; Wydział Matematyki, Fizyki i Techniki; Instytut Mechaniki Środowiska i Informatyki Stosowanej";9118
28642;HISTORYCZNE;;"Polsko-Japońska Wyższa Szkoła Technik Komputerowych w Warszawie; Centrum Badawcze";25323
28642;HISTORYCZNE;profesor zwyczajny;"Polsko-Japońska Wyższa Szkoła Technik Komputerowych w Warszawie; Wydział Informatyki; Katedra Systemów Inteligentnych";18507
228826;AKTUALNE;adiunkt;"Uniwersytet Kazimierza Wielkiego; Instytut Informatyki";230978
228826;AKTUALNE;;"Uniwersytet Kazimierza Wielkiego; Instytut Informatyki";230978
228826;HISTORYCZNE;adiunkt;"Uniwersytet Kazimierza Wielkiego; Wydział Matematyki, Fizyki i Techniki; Instytut Mechaniki i Informatyki Stosowanej";206711
228826;HISTORYCZNE;;"Uniwersytet Kazimierza Wielkiego; Wydział Matematyki, Fizyki i Techniki; Instytut Mechaniki i Informatyki Stosowanej";206711
228826;HISTORYCZNE;adiunkt;"Uniwersytet Kazimierza Wielkiego; Wydział Mechatroniki; Instytut Mechaniki i Informatyki Stosowanej";230977
228826;HISTORYCZNE;;"Uniwersytet Kazimierza Wielkiego; Wydział Mechatroniki; Instytut Mechaniki i Informatyki Stosowanej";230977
228826;HISTORYCZNE;adiunkt;"Wyższa Szkoła Gospodarki w Bydgoszczy; Wydział Studiów Stosowanych; Instytut Informatyki i Mechatroniki";212797
